transaction_id,purchasing_time,customer_id,product_id,price_per_unit,unit,destination_district,destination_province,postal_code
trans_108,2022-10-10 11:44,106,pot-bella-2212w,89.00,2,เมืองอุดรธานี,อุดรธานี,41000
trans_109,2022-10-10 23:48,107,pot-bella-2212w,89.00,1,ธนบุรี,กรุงเทพมหานคร,10600
trans_110,2022-10-11 20:29,108,pot-bella-2212w,89.00,1,ราชเทวี,กรุงเทพมหานคร,10400
trans_111,2022-10-13 10:20,109,pot-bella-2212w,89.00,2,พระโขนง,กรุงเทพมหานคร,10260
trans_112,2022-10-18 07:02,110,pot-bella-2213g,189.00,2,เขาย้อย,เพชรบุรี,76140
trans_113,2022-10-04 00:30,111,pot-bella-2213g,189.00,1,บางพลัด,กรุงเทพมหานคร,10700
trans_114,2022-10-10 00:11,112,pot-bella-2213w,189.00,2,ประเวศ,กรุงเทพมหานคร,10250
trans_115,2022-10-11 20:40,113,pot-bella-2213w,189.00,1,ตลิ่งชัน,กรุงเทพมหานคร,10170
trans_116,2022-10-12 10:55,114,pot-bella-2213w,189.00,2,บางปะกง,ฉะเชิงเทรา,24130
trans_117,2022-10-29 13:57,115,pot-bella-2213w,189.00,2,เมืองจันทบุรี,จันทบุรี,22000
trans_118,2022-10-02 21:50,116,pot-bella-2213w,189.00,1,บางปะอิน,พระนครศรีอยุธยา,13160
trans_119,2022-10-15 17:55,117,pot-bella-9975w,500.00,1,เมืองภูเก็ต,ภูเก็ต,83000
trans_120,2022-10-03 10:43,118,pot-bella-9975w,500.00,1,เมืองสระบุรี,สระบุรี,18000
trans_121,2022-10-18 22:16,119,pot-bella-9976w,720.00,1,มีนบุรี,กรุงเทพมหานคร,10510
trans_122,2022-10-15 22:11,120,pot-bella-9977b,825.00,1,บางบัวทอง,นนทบุรี,11110
trans_123,2022-10-10 12:43,121,han-spa-10,16.00,7,เสาไห้,สระบุรี,18160
trans_124,2022-10-13 22:29,122,sun-01,30.00,1,โคกสำโรง,ลพบุรี,15120
trans_125,2022-10-13 15:59,123,sun-02,25.00,1,ทวีวัฒนา,กรุงเทพมหานคร,10170
trans_126,2022-10-13 18:46,124,sun-02,25.00,1,หนองสูง,มุกดาหาร,49160
trans_127,2022-10-14 18:15,125,sun-02,25.00,2,บางบ่อ,สมุทรปราการ,10560
trans_128,2022-10-14 19:56,126,sun-02,25.00,5,คลองเตย,กรุงเทพมหานคร,10110
trans_129,2022-10-17 07:04,127,sun-02,25.00,2,พนมสารคาม,ฉะเชิงเทรา,24120
trans_130,2022-10-29 15:01,128,sun-02,20.00,11,พนัสนิคม,ชลบุรี,20140
trans_131,2022-10-03 10:19,100,sun-02,20.00,12,หาดใหญ่,สงขลา,90110
trans_132,2022-10-29 21:08,017,sun-03-06,150.00,1,ละงู,สตูล,91110
trans_133,2022-10-03 15:05,030,sun-05,50.00,2,หนองจอก,กรุงเทพมหานคร,10530
trans_134,2022-10-05 23:26,001,air-01,69,1,บางกอกน้อย,กรุงเทพมหานคร,10700
trans_134,2022-10-05 23:26,001,air-03-02,199,1,บางกอกน้อย,กรุงเทพมหานคร,10700
